en,sv
freethink,fritänkande
freez,frys
frenem,frenem
fresher,fräschare
freshest,fräschast
freshm,förstaårss
friend,vän
friendlier,vänligare
friendliest,vänligaste
friendly,vänlig
friends,vänner
fries,pommes
friggin,jäkla
friggin',jäkla
frigging,jävla
fright,skrämsel
froze,frös
fruit,frukt
frustrat,frustrer
fry,fritera
fu,fu
fuck,knulla
fuckboy,fuckboy
fucked,körd
fucker,fucker
fuckface,fuckface
fuckh,fuckh
fuckin,fuckin
fucks,fucks
fucktard,fucktard
fucktoy,fucktoy
fucktwat,fucktwat
fuckwad,fuckwad
fuller,fylligare
fullest,fullaste
fume,rök
fuming,rykande
fun,roligt
fund,finansiera
fundamental,grundläggande
fundamentalis,fundamentalister
fundamentally,fundamentalt
fundamentals,fundamenta
funded,finansierade
funding,finansiering
funds,medel
funer,begravn
funner,roligare
funnest,roligast
funnier,roligare
funnies,roligas
funniest,mest rolig
funnily,roligast
funniness,rolighet
funny,rolig
furious,rasande
further,ytterligare
furthest,längst
fury,raseri
futur,framti
fuzz,ludd
fwb,fwb
gal,tjej
gals,tjejer
gambl,Spel
game,spel
gang,gäng
gangs,gäng
gather,samla
gave,gav
gay,gay
gayer,mer gay
gayest,mest gay
gays,gays
gbp,pund
geek,nörd
generally,generellt sett
generate,generera
generating,genererande
generator,generator
genero,genero
genital,genital
genocid,folkmord
gent,försikt
gentile,snäll
gentle,mild
gentlem,gentlem
gentler,mjukare
gentlest,mild
gentlewom,dam
gently,försiktigt
gents,herrar
gf,gf
ghost,spöke
giggl,fniss
gigolo,Gigolo
girl,flicka
girl's,flickas
girlfriend,flickvän
girlh,flick
girli,flick
girls,flickor
girly,flickaktigt
give,ge
giver,givare
gives,ger
giving,ger
glad,glad
gladly,gladeligen
glamor,glamour
glamour,glamour
gland,körtel
glaucoma,glaukom
gloom,dyster
gloomier,dystrare
gloomiest,dystraste
gloomily,dystert
gloominess,dysterhet
gloomy,dyster
glori,ärof
glory,ära
glutton,frossare
gmat,gmat
goal,mål
gobble,sluka
gobbling,slukande
god,Gud
god's,Guds
goddam,helvet
goddess,gudinna
godfather,gudfader
godmother,gudmor
godparent,gudförälder
going,ska
gon,gon
gonna,ska
gonorrhea,gonnorre
good,Bra
good-for-nothing,värdelös
goodbye,hejdå
goodness,godhet
goosebump,gåshud
gorgeous,underbar
gorgeously,underbart
gorgeousness,underbarhet
gospel,gospel
gossip,skvaller
gotta,måste
gov,reger
govern,regeringen
gpa,betyg
grab,ta
grace,nåd
graced,hedrad
graceful,graciös
graces,nåd
graci,nådi
grad,bety
grade,betyg
grading,gradering
graduat,examen
gramp,farf
grand,storhet
grandchil,barnbar
granddad,farfar
granddau,barnbar
grande,stor
grandfath,farfar
grandkid,barnbarn
grandm,farm
grandpa,morf
grandson,barnbarn
granny,mormor
grasp,grepp
gratef,tacksa
grati,tacksamh
grave,grav
gre,toppe
great,toppen
greater,bättre
greatest,bäst
greatness,storhet
greed,girighet
greet,häls
grief,sorg
griev,sörj
grim,dyster
grimac,grima
grimly,grymt
grin,flin
grinn,flina
grins,flin
grip,grepp
gripp,grepp
grips,grepp
grl,tjej
grocer,handlare
groom',brudgum
gross,äckligt
grossed,äcklad
grosser,äckligare
grossest,äckligast
grossing,uppräkning
grossly,grovt
grossness,äcklighet
grouch,surpuppa
group,grupp
grown-up,vuxna
grownup,vuxen
grr,grr
grudg,agg
guarant,guarant
guard,vakt
guess,gissa
guessed,gissade
guesses,gissningar
guessing,gissande
guest,gäst
guilt,skuld
guilt-trip,skuldkänslor
guiltier,skyldigare
guiltiest,skyldigast
guilty,skyldig
gulp,klunk
gums,tandkött
gunna,ska
gurl,chey
gut,mage
guts,tarmar
guy,kille
gynecolog,gynekolog
gyno,gyn
ha,ha
hah,hah
haha,haha
haircut,frisyr
hairless,hårlös
hairs,hårstrån
hairy,hårig
half,halv
half-ass,halvdant
halfass,halvdant
hallucinat,halluciner
hamstring,lårmuskel
hand,hand
handful,handfull
hands,händer
handshake,handslag
handsome,stilig
handsomely,stiligt
handsomest,stiligast
hanged,hängde
hangout,hangout
hangover,bakfylla
happier,gladare
happiest,gladast
happily,gladeligen
happiness,lycka
happy,glad
harass,trakassera
hard,hård
hard-on,stånd
harden,hårdna
harder,hårdare
hardest,hårdast
hardly,knappt
hardwork,hårt arbete
harm,skada
harmed,skadad
harmful,skadlig
harmfully,skadligt
harmfulness,skadlighet
harming,skadar
harmless,ofarlig
harmon,harmon
harms,skadar
harsh,sträng
hashanah,hashanah
hate,hat
hated,hatad
hateful,hatfull
hater,hatare
hates,hatar
hating,hatande
hatred,hat
haunted,plågad
hazard,fara
hazy,dimmig
he,han
he'd,han hade
he'll,han kommer
he's,han är
he-,han-
head,huvud
headache,huvudvärk
headhunter,headhunter
headin,beger
heads,huvuden
heal,läka
healed,läkt
healer,healer
healing,läkning
heals,läker
health,hälsa
healthful,hälsosam
healthier,hälsosammare
healthiest,hälsosammast
healthily,hälsosamt
healthy,hälsosam
hear,höra
heard,hörde
hearing,hörsel
hears,hör
hearse,likvagn
heart,hjärta
heartbreak,hjärtesorg
heartbroke,hjärtesorg
heartburn,halsbränna
heartfelt,innerligt
heartless,hjärtlös
hearts,hjärtan
heartwarm,hjärtvärmande
heaven,himmelen
heavie,tyngs
heavy,tung
heck,tusan
heel,häl
heh,heh
hell,helvete
hella,helvete
hellish,helveteslik
hello,hej
hells,heleveten
help,hjälp
helper,hjälpare
helpful,hjälpsam
helpfully,hjälpsamt
helpfulness,hjälpsamhet
helping,hjälper
helpings,hjälpande
helpless,hjälplös
helps,hjälper
hemor,förblö
hence,därför
henceforth,fortsättningsvis
her,hon
hero,hjälte
hero's,hjältes
heroes,hjältar
heroic,heroisk
heroine,hjältinna
heroism,hjältemod
herpes,herpes
hers,hennes
herself,hon själv
hes,han är
hesita,tvek
heterosexual,heterosexuell
hey,hey
hi,hej
hiccup,hicka
hid,gömde
hide,gömma
hides,gömmer
hiding,gömmande
hierarch,hierark
high,hög
high-ranking,högt rankad
higher,högre
highest,högst
highness,höghet
highschool,gymnasi
hilarious,rolig
him,honom
himself,honom själv
hinder,hinder
hindu,hindu
hip,höft
hips,höfter
hipster,hipster
hire,anställa
hired,anställd
hires,anställer
hiring,anställa
his,hans
hissel,honom själ
hiv,hiv
hobo,uteliggare
hoe,hora
hoebag,hora
hoes,horor
hoho,hoho
holier,heligare
holiest,heligast
holocaust,förintelse
holy,helig
homeless,hemlös
homesick,hemlängtan
homework,läxor
homie,polare
homo,homo
homocid,homocid
homos,homos
homosexual,homosexuell
honest,ärlig
honestly,ärligt
honesty,ärlighet
honey,honung
honeymoon,smekmånad
honor,hedra
honour,hedra
hooker,hora
hooray,hurra
hope,hoppas
hoped,hoppats
hopeful,hoppfull
hopefully,förhoppningsvis
hopeless,hopplös
hopes,förhoppningar
hoping,hoppas
hormone,hormon
hornie,kåt
horny,kåt
horrible,fruktansvärd
horribly,fruktansvärt
horrid,otäck
horror,skräck
horseshit,hästskit
hospital,sjukhus
hostil,fientlig
hot,varm
hotter,varmare
hottest,varmast
hottie,heting
househusband,hemmaman
housewi,hemmafru
housework,hushållsarbete
how,hur
how'd,hur gick
how're,hur är
how's,hur är
howd,hur gick
howre,hur är
hows,hur är
hr,hur är
hubby,make
hug,kram
huge,enorm
huger,större
hugest,störst
hugg,kram
hugs,kramar
human,mänsklig
humble,ödmjuk
humbler,humbler
humblest,humblest
humiliat,förödmjuk
humor,humor
humour,humor
hump,puckel
hundred,hundra
hunger,hunger
hungover,bakfull
hungrier,hungrigare
hungriest,hungrigast
hungrily,hungrigt
hungry,hungrig
hurra,hurra
hurt,ont
husband,make
hymn,psalm
hyperten,hyperten
hypotherm,hypoterm
hypothes,hypotetiserad
hypothetic,hypotetisk
i'll,jag ska
i'mma,jag kommer
ibuprofen,ibuprofen
icu,iva
ideal,idealisk
identical,identisk
idgaf,idgaf
idiot,idiot
if,om
ignit,tända
ignorable,ignorerbar
ignoramus,dumhuvud
ignorant,okunnig
ignore,ignorera
ignored,ignoreras
ignores,ignorerar
ignoring,ignorerar
ill,sjuk
illness,sjukdom
ily,ily
ima,jag ska
imam,imam
imma,jag ska
imminent,nära förestående
immoral,omoralisk
immortal,odödlig
immun,immun
impatien,otålig
impending,hotande
impersonal,opersonlig
implica,implika
implicit,implicit
implie,underförst
imply,antyda
impolite,oartig
importance,betydelse
important,Viktig
importantly,viktigt
impress,imponera
improve,förbättra
improving,förbättring
in-law,svärföräld
inadequa,otillräck
inc,inc
incapab,Inkapab
incentive,incitament
incest,incest
income,inkomst
incompeten,incompeten
incomplet,ofullständig
incorp,incorp
indecis,tveksam
indeed,verkligen
indefinit,undefined
independ,fristående
indigestion,matsmältningsbesvär
indirect,indirekt
individual,enskild
induc,indu
industr,industr
ineffect,inkapab
inequal,ojämställd
inevitab,oundvik
inexpensive,billig
infallib,ofelb
infamous,ökänd
infant,spädbarn
infant's,spädbarnets
infants,spädbarn
infect,infektera
infer,antyda
inferen,antyd
inferior,underlägsen
inferiority,underlägsenhet
inferiors,underlägsna
inferr,antyda
infers,dragit slutsatsen
infertil,infertil
infinit,oändligh
inflam,inflam
influenc,inflyt
influential,inflytelserik
inform,underrätta
informed,informerad
informing,informerar
informs,informerar
ingest,inta
inhal,inhal
inherit,ärva
inhibit,inneha
initiat,initier
injur,skad
inlaw,svärföräld
innocen,oskyldig
inquir,förfråg
insecur,osäk
insignificant,obetydlig
insincer,falsk
insomnia,sömnlöshet
inspector,inspektör
inspir,inspir
instagram,instagram
institut,institut
instruct,instruera
insulin,insulin
insult,förolämpning
insurance,försäkring
intellect,intellekt
intelligence,intelligens
intelligent,intelligent
intend,avse
intent,avsikt
interact,interagera
interest,intresse
interested,intresserad
interesting,intressant
interests,intressen
intern,intern
interpersonal,interpersonlig
interrup,avbryta
interview,intervju
intestin,tarmen
intimidat,skräm
intox,berus
invade,invadera
invader,inkräktare
invades,invaderar
invading,invaderande
invariab,oföränder
invasion,invasion
inventory,lager
invest,invest
invigor,uppfrisk
involv,involv
irrational,irrationell
irrefu,obestrid
irrita,irrita
irs,irs
islam,islam
isolat,isoler
it'll,det kommer
itch,kli
itll,det kommer
iv,jag har
jackass,åsna
jackpot,jackpott
jaded,utsliten
jaw,käke
jd,jd
jealous,svartsjuk
jealousies,svartsjukor
jealously,svartsjukt
jealousy,svartsjuka
jeez,jeez
jerk,idiot
jerked,ryckt
jerks,idioter
jesuit,jesuit
jesus,Jesus
jew,jude
jewish,judisk
jews,judar
jihad,jihad
jism,sperma
jissom,sperma
jizz,sperma
job,jobb
joints,skarvar
joke,skämt
joking,skämta
jolly,glad
joy,glädje
juda,juda
judge,bedöma
judged,dömd
judgement,dom
judges,domare
judging,bedömning
juice,juice
junior,junior
justice,rättvisa
justif,rättfär
karma,karma
keen,angelägen
kegger,ölkagge
keyboard,keyboard
kid,barn
kid',barn
kidding,skojar
kidney,njure
kids,barn
kik,kik
kill,döda
kin,släkt
kind of,typ
kind,sort
kinda,typ
kinderg,förskol
kindly,vänligen
kindn,vänl
kindof,typ
king,kung
king's,kungs
kingl,kungligh
kingpin,kingpin
kings,kungar
kippur,kippur
kiss,kyss
kitchen,kök
knee,knä
knight,riddare
knuckle,knoge
kopek,kopek
koran,koran
kosher,kosher
krishna,krishna
krisna,krisna
kron,kron
labor,arbeter
labour,labour
lack,brist
lacked,brast
lackey,lakej
lacking,avsaknande
lacks,saknar
lad,grabb
ladies,damer
lady,dam
lady's,dams
laidback,avslappnad
lame,haltande
lamely,haltande
lameness,lamhet
lamer,lamare
lamest,lamast
landlord,hyresvärd
language,språk
laptop,laptop
large,stor
larger,större
largest,störst
lass,jänta
lassie,jänta
later,senare
latest,senast
laugh,skratt
launch,lansering
law,lag
layoff,avsked
lazier,latare
laziest,latast
lazy,lat
lead,leda
leader,ledare
leading,leder
leads,ledtrådar
learn,lära
learned,lärde
learner,nybörjare
learners,elever
learning,lärdomar
learns,lär sig
learnt,lärde
lease,hyresavtal
leasing,hyra
least,minst
leather,läder
lectur,föreläsn
led,ledd
leg,ben
legal,laglig
legales,legalis
legalis,legalis
legalit,legalis
legaliz,legalis
legally,legalt
legals,legala
legit,legit
legs,ben
lend,låna
lender,långivare
lending,utlåning
lends,lånar
lesbian,lesbisk
less,mindre
lesson,lärdom
let's,låt oss
lethal,dödlig
lets,låt oss
letter,brev
leuke,leuke
liabilit,ansv
liar,lögnare
libert,frihe
libid,libid
librar,bibli
lied,ljög
lies,lögner
life,liv
lighter,ljusare
lightest,ljusast
to like,att gilla
(i) like,(jag) gillar
(you) like,(du) gillar
(we) like,(vi) gillar
(they) like,(de) gillar
(do) like,gillar
(don't) like,ogillar
(did) like,gillade
(didn't) like,ogillade
(will) like,(kommer) gilla
(won't) like,(kommer inte) gilla
(does) like,gillar
(doesn't) like,gillar inte
(did not) like,gillar inte
(will not) like,(kommer inte) gilla
(do not) like,gillar inte
(does not) like,gillar inte
(would not) like,kommer inte gilla
(should not) like,bör inte gilla
(could not) like,kunde inte gilla
(53) like,som
like,tycka om
likeab,sympat
liked,gillade
likel,troligtv
likes,gillar
liking,böjelse
lil,lit
lil',lit
limp,halta
lip,läpp
lips,läppar
liquor,sprit
lira,lira
listen,lyssna
listened,lyssnade
listener,lyssnare
listening,lyssna
listens,lyssnar
littler,mindre
littlest,minst
live,leva
lived,levde
livel,livli
liver,lever
lives,liv
living,levande
lmao,lmao
lmfao,lmfao
loan,lån
locals,lokalbefolkningen
lol,lol
lone,själv
lonelier,ensammare
loneliest,ensammast
loneliness,ensamhet
lonely,ensam
loner,enstöring
longer,längre
longest,längsta
longing,längtan
looming,hägrande
loose,lös
loosed,löst
loosely,löst
loosen,lossa
looser,lösare
looses,förlorar
loosest,lösast
lord,herre
lose,tappa bort
loser,förlorare
loses,förlorar
losing,förlorande
loss,förlust
lost,förlorat
lot,massa
lotof,massa
lots,massor
lotsa,massor
lotta,massor
lotter,mer
louder,högre
loudest,mest högljudda
lous,värdel
love,kärlek
loved,älskade
loveless,kärlekslös
lovelier,härligare
loveliest,härligast
lovely,härlig
lover,älskare
loves,älskar
loving,kärleksfull
low,låg
lower,lägre
lowered,sänkt
lowering,sänkning
lowers,sänker
lowest,lägst
lowli,blygs
lowly,blygsam
loyal,lojal
loyalt,lojalit
lozenge,tablett
lsat,lsat
ltd,ltd
luck,tur
lucked,haft tur
luckier,tursam
luckiest,tursammast
luckily,lyckligtvis
luckless,oturlig
lucky,tursam
ludicrous,löjlig
lump,klump
lunch,lunch
lung,lunga
lungs,lungor
lust,lust
lutheran,lutersk
luv,kärlek
lying,ljuga
lymph,lymfa
lynch,lyncha
ma,frun
ma'am,frun
ma's,mammas
maam,maam
mad,galen
madam,frun
madame,frun
maddening,sinnesrubbande
madder,galnare
maddest,galnast
made,gjord
mademoiselle,fröken
magnific,magnifik
maid,hembiträde
maid's,hembiträdets
maiden,jungfru
maids,pigor
mail,post
mailed,postat
mailing,utskick
mailroom,postrum
mails,postar
mainly,huvudsakligen
majoring,huvudämne
majority,majoritet
majors,huvudämnen
make,göra
makeout,hångel
maker,tillverkare
makes,gör
making,framställning
male,manlig
male's,män
males,män
mam,mam
mama,mamma
mammogram,mammografi
man,man
man's,men
manage,hantera
manageabl,hanterb
managed,förvaltade
management,förvaltning
manager,chef
manages,hanterar
managing,hantera
maniac,galning
manic-dep,mano-dep
manicdep,manodep
manipulat,manipulat
manly,manlig
manners,uppförande
manslaughter,dråp
manufact,tillverknings
many,många
margarita,margarita
marginal,marginell
market,marknad
marriag,äktensk
marrie,gif
marry,gifta sig
martini,martini
masculine,maskulin
masculinity,manlighet
masochis,masochis
massacre,massaker
massive,massiv
master,bemästra
mastercard,mastercard
mastered,behärskar
masterful,mästerlig
mastering,bemästr
mastermind,mastermind
masters,masters
mastery,herravälde
masturb,masturb
mate,para
mate's,parar
mated,parade
maternal,moderlig
maternity,moderskap
mates,parar
math,matematik
mating,parning
matriarch,matriark
mature,mogna
mausoleum,mausoleum
may,Maj
maybe,kanske
mcat,mcat
meal,måltid
meaner,elakare
meanest,elakast
meat,kött
mecca,mecka
medic,sjukvårdare
meditat,mediter
meek,ödmjuk
meet,träffa
meeting,möte
meets,möter
melanchol,melankol
member,medlem
memo,PM
memoria,minne
memos,PM
men,män
men',män
menial,simpel
mennonit,mennonit
mens,mäns
mention,nämna
mentor,mentor
merchant,handlare
mercif,barmhärtigh
mercy,barmhärtighet
merger,fusion
merit,merit
merr,munt
mess,röra
message,meddelande
messaged,meddelade
messages,meddelanden
messaging,meddelandehantering
messier,rörigare
messiest,rörigast
messy,rörig
met,träffade
methodis,metodis
mf,skitstövel
mf',skitstövel
mfg,mfg
mfs,mfs
mgmt,mgmt
mgr,mgr
middle,mitten
midterm,halvtids
might,kanske
might've,kanske har
mightve,kanske har
mighty,mäktig
migrain,migrän
milder,mildare
mildest,mildast
milf,milf
militant,militant
military,militär
milk,mjölk
million,miljon
mimi,mimi
mimi',mimi
mimis,mimis
minion,minion
minister,minister
ministr,ministr
minor,minderårig
miscar,missf
miser,elän
misle,vilseled
miss,fröken
missed,missade
misses,missar
missing,saknas
missionar,missionä
missus,frugan
mistak,missta
mister,herr
mistres,älskarin
mitzvah,mitzvah
mo,mo
mo',mo
mock,håna
mocked,hånad
mocker,hånare
mocking,håna
mocks,hånar
mofo,mofo
mohamm,mohamm
moist,fuktig
molest,antasta
mom,mamma
mom's,mammas
momma,morsa
mommy,mamma
moms,mammas
monarch,monark
monast,kloste
money,pengar
monk,munk
mono,mono
monopol,monopol
monsieur,herre
mooch,tigga
mood,humör
moodi,lynni
moods,humör
moody,lynnig
moral,moralisk
morality,moral
morals,moral
more,Mer
morgue,bårhus
mormon,mormon
moron,dumhuvud
mortal,dödlig
mortg,lå
mortician,begravningsentreprenör
mosque,moské
most,mest
mostly,mestadels
mother,moder
mother's,moders
mothered,mödrad
motherfucke,motherfucke
motherfuckin,jävla
motherhood,moderskap
mothering,mödrande
motherl,moderl
mothers,mödrar
motiv,motiv
mourn,sörj
mouth,mun
mr,herr
mri,mri
mrs,fru
ms,fröken
much,mycket
mucho,mycket
mucous,mycket
muhamm,muhamm
mujahid,mujahid
multiple,flera
mum,mamma
mum's,mammas
mummy,mamma
mums,mammor
murder,mord
muscle,muskel
muscular,muskulös
musl,musl
must,måste
must'nt,bör ej
must've,måste ha
mustn't,bör ej
mustnt,bör ej
mustve,måste ha
mutin,mutin
mvp,mvp
myopi,myopi
myster,myster
n00b,n00b
nada,nada
nag,tjata
naked,naken
name,namn
namely,nämligen
names,namn
nana,mormor
nana's,mormors
nanas,mormödrar
nann,mormor
narrower,smalare
narrowest,smalast
nasal,nasal
nast,nast
nause,illamå
nearer,närmare
nearest,närmast
nearly,nästan
nearsighted,närsynt
neat,prydlig
neater,prydligare
neatest,prydligast
neatly,prydligt
neatness,prydlighet
necessari,nödvänd
necessary,nödvändigt
neck,nacke
needy,behövande
neglect,försummelse
negotiat,förhandl
neighbor,granne
neighbour,granne
neither,varken eller
nephew,brorson
nerd,nörd
nerve,nerv
nervous,nervös
nervously,nervöst
nervousness,nervöshet
neural,neural
neurolog,neurolog
neuron,neuron
neurotic,neurotisk
never,aldrig
newbie,nykomling
newborn,nyfödd
newcomer,nykomling
newer,nyare
newest,nyast
ngo,ngo
nice,nice
nicely,trevligt
niceness,trevlighet
nicer,trevligare
nicest,trevligast
niceties,trevligheter
nicety,trevlighet
nickel,nickel
niece,brorsdotter
nigga,nigga
nigger,nigger
nightmar,mardr
nine,nio
nipple,bröstvårta
noisier,bullrigare
noisiest,bullrigast
nominat,nominer
none,ingen
nonprofit,nonprofit
noob,noob
noodle,nudel
nose,näsa
nostril,näsborre
nothing,ingenting
novice,nybörjare
nowhere,ingenstans
nsfw,nsfw
nude,naken
nudi,nakenh
numbed,bedövad
numbing,bedövande
numbness,domningar
numbs,bedövar
nun,nunna
nun's,nunnas
nuns,nunnor
nurse,sjuksköterska
nurtur,vårda
nutrition,näring
obedience,lydnad
obedient,lydig
obediently,lydigt
obese,fet
obesity,fetma
obey,lyda
obeyed,löd
obeying,lyder
obeys,lyder
obit,obit
obnoxious,motbjudande
obscur,obsky
obsess,överdriv
obtainable,erhållbar
obvious,uppenbar
obviously,uppenbarligen
occasional,tillfällig
occupa,yrk
ocd,ocd
od,konsti
odder,konstigare
oddest,konstigast
oded,oded
offence,brott
offend,förolämpa
offense,brott
offenses,brott
offensive,offensiv
offer,erbjudande
office,kontor
officehold,kontorsh
officer,polis
offices,kontor
official,officiell
often,ofta
ok,ok
okay,okej
okayed,okejat
okays,okejar
okey,okej
oks,okej
older,äldre
oldest,äldst
omfg,omfg
once,en gång
oncoming,kommande
one,en
onward,framåt
oomf,oomf
open-minded,öppensinnad
openminded,öppensinnad
openness,öppenhet
operat,drivs
opinion,åsikt
opportun,möjligh
oppose,motsätta
oppositi,motstån
optimal,optimal
optimism,optimism
optimistic,optimistisk
option,alternativ
optometr,optometr
or,eller
order,beställa
orders,beställning
org,org
organization,organisation
organize,organisera
organized,organiserad
organizer,organisatör
organizes,organiserar
organizing,organisering
orgasm,orgasm
orgi,orgi
orgy,orgi
origin,ursprung
original,original
originat,origina
origins,ursprung
orthodon,ortodon
orthodox,ortodox
orthoped,ortoped
our,vår
ours,vår
ourselves,oss själva
outcast,utstött
outcome,utfall
outgoing,utgående
outlin,översikt
outrag,upprördh
outrank,överträffa
outsider,outsider
outsourc,outsourca
ovar,over
over,över
overall,övergripande
overate,overate
overdosed,överdoserad
overeat,överäta
overhear,överhöra
overpaid,överbetald
overpower,överbemanna
overrul,upphäva
overtime,över tid
overweight,övervikt
overwhelm,överväldiga
overworked,överarbetad
owe,vara skyldig till
owed,skyldig
owes,skyldig
owing,ha skuld
owner,ägare
pa,pappa
pa's,pappas
pagan,hednisk
paid,betald
pain,smärta
pained,plågad
painf,plågs
painl,smärtfr
pains,möda
pal,kompis
pal's,kompis
palatabl,tolererb
pallbearer,kistbärare
palm,handflata
palms,handflator
pals,polare
pancake,pannkaka
panic,panik
pap,pap
papa,pappa
papa's,pappas
papal,påvlig
papas,pappor
paper,paper
pappy,pappa
pappy's,pappas
paradise,paradis
paraly,paraly
paranoi,paranoi
parent,förälder
pariah,paria
parliament,parlament
part,del
participant,deltagare
participat,deltog
particular,särskild
particularly,särskilt
partie,del
partly,delvis
partner,partner
party,fest
passion,passion
passiv,passiv
passover,påsk
pasta,pasta
pastor,pastor
paternal,faderlig
paternity,faderskap
pathetic,patetisk
pathetically,patetiskt
patholog,patologi
patriarch,patriark
pay,betala
pc,pc
peace,fred
peaceful,fredlig
peacefully,lugnt
peacekeep,fredsbevar
peacemak,fredsskap
peasant,bonde
peculiar,egendomlig
pediatr,barnläk
pee,kiss
peeps,kiss
pelvi,bäcke
pen,penna
penance,bot
pence,öre
pencil,penna
penis,penis
pennies,ören
penny,öre
pens,pennor
pension,pension
pentecost,pingst
peon,daglönare
people,människor
pepsi,pepsi
percent,procent
perfect,perfekt
perfected,perfekt
perfecting,fullända
perfection,perfektion
perfectly,perfekt
perfects,perfekt
perform,prestera
perhaps,kanske
permiss,Tillåten
permit,tillåta
person,person
person's,persons
personal,personlig
persons,personer
perspir,perspir
persua,övertal
perv,perv
perver,perver
pervy,prevo
peso,peso
pesos,pesos
pessimis,pessimis
pest,skadedjur
petrif,petrif
pettier,snyggare
pettiest,snyggast
petty,småaktig
pew,kyrkbänk
pews,kyrkbänkar
pharmac,apotek
phd,fil.dr
phobi,fobi
phone,telefon
phoning,ringa
phony,falsk
photocop,fotokop
physical,fysisk
physicality,fysikalitet
physically,fysiskt
physicals,fysik
physician,läkare
physics,fysik
pick,plocka
picked,plockade
picking,plocka
picks,plockar
pie,paj
piece,bit
pieces,bitar
pies,pajer
piet,piet
pilgrim,pilgrim
pill,piller
pills,piller
pilot,pilot
pimple,finne
pimply,finnig
pious,from
piss,piss
pitiable,ynklig
pitied,beklagade
pities,beklaganden
pitiful,beklaglig
pitifully,beklagligt
pity,beklaga
pizza,pizza
plague,pest
plainer,enklare
plainest,vanligast
plan,plan
planner,planera
planning,planerande
plans,plander
play,spela
played,spelade
playful,lekfull
playfully,lekfullt
playfulness,lekfullhet
playing,lekande
playmate,lekkamrat
plays,leker
plead,åberopa
pleasant,trevlig
please,snälla du
pleasing,behaglig
pleasur,njutnin
pledge,lova
plenty,massor
pms,pms
podiatr,podiatr
poison,förgifta
polic,polis
polite,artig
politely,hövligt
politic,klok
poop,bajs
poor,fattig
poorer,sämre
poorest,fattigaste
poorhouse,fattighus
poorly,dåligt
poorness,poorness
popcorn,popcorn
pope,påve
popular,populär
populari,populari
pork,fläsk
porn,porr
