en,sv
portfolio,portfölj
positive,positiv
positively,positivt
positives,positiva
positivi,positivi
posse,posse
possib,possib
potato,potatis
potential,potential
poverty,fattigdom
power,kraft
powerful,kraftfull
powerfully,kraftigt
powerless,maktlös
powers,befogenheter
ppl,ppl
practically,praktiskt taget
practice,öva
practiced,tränad
practices,praxis
practicing,praktiserande
prais,berö
pray,be
prayed,bad
prayer,bön
praying,ber
prays,ber
preach,predika
precious,dyrbar
precis,Precis
predator,rovdjur
predict,förutspå
pregnan,gravi
prejudic,fördo
prepar,förbere
prereq,förutsätt
presbyterian,Presbyterian
prescri,recep
presentation,presentation
presiden,Presiden 
press,Tryck
pressed,nedtryckt
presses,pressar
pressing,brådskande
pressur,pressur
prestig,prestig
prettier,sötare
prettiest,prettiest
pretty,Söt
prevent,förhindra
prey,byte
price,pris
prici,prici
prick,sticka
pride,stolthet
priest,präst
prince,prins
prince',prins'
princes,prinsar
princess,prinsessa
principal,rektor
prison,fängelse
private,privat
privileg,privileg
prize,pris
probab,probab
probation,villkorlig dom
problem,problem
procrastin,prokrastin
produc,produk
prof,prof
profession,yrke
professor,professor
profit,vinst
profs,prof
prognos,prognos
program,program
project,projekt
projector,projektor
projects,projekt
prolly,förmodligen
prom,studentbal
prominen,framträdande
promiscu,promiscuity
promise,löfte
promising,lovande
promot,marknadsf
proof,bevis
prophe,profe
prospect,utsikt
prostat,prostat
prostitu,prostitu
protect,skydda
protest,protest
protestant,protestant 
protested,protesterade
protesting,protesterar 
protests,protester
proud,stolt
prouder,stoltare 
proudest,stoltaste 
proudly,stolt
prove,bevisa
provide,förse
provides,erbjuder
providing,erbjuder
proving,bevisar
provok,provocera
prozac,prozac
prude,pryd
prudish,pryd
psalm,psalm
psych,psyk
psychol,Psykol
pubic,pubis
public,offentlig
publish,publicera
puk,puk
pulse,puls
punish,straffa
puny,ynklig
purchas,köp
pure,ren
purely,rent
pureness,renhet
purer,renare
purest,renaste
purgator,skärsel
puritan,puritan
purity,renhet
purpose,syfte
pushier,påstridigare
pushiest,påstridigast
pushy,påstridig
puss,fitt
pussies,fittor
pussy,fitta
puzzl,pussel
qualifi,kvalifi
quarter,fjärdedel
queas,fråg
queen,drottning
queen's,drottnings
queens,drottningar
queer,queer
question,fråga
questioned,utfrågad
questioning,frågande
questions,frågor
quicker,snabbare
quickest,snabbaste
quieter,tystare
quietest,tystaste
quite,ganska
quiz,quiz
qur'an,Koranen
quran,Koranen
rabbi,rabbi
rabbinal,rabbinal
rabbinical,rabbinska
rabbis,rabbiner
radian,radian
rage,raseri
raging,rasande
ramadan,ramadan
rancid,härsken
random,slumpmässig
randomly,slumpvis
randomness,slumpmässighet
rank,rang
rape,våldta
raping,våldta
rapist,våldtäktsman
rarer,ovanlig
rarest,mest sällsynta
rash,utslag
rational,rationell
react,reagera
read,läsa
readiness,beredskap
ready,redo
reaper,skördeman
rearrang,ordna om
reason,anledning
reassur,försäkr
rebate,avdrag
rebel,rebell
receiv,få
recent,nyligen
recession,lågkonjunktur
recommend,rekommendera
reconstruct,rekonstruera
recruit,rekrytera
reek,stinka
refrain,avstå
refund,återbetalning
refus,vägra
register,Registrera
registra,registrer
regret,ångra
regulat,regler
rehab,rehab
reign,regera
reimburs,ersätta
reinvigor,återuppliv
reject,avvisa
rejoice,glädjas
relate,relatera
relationship,relation
relatives,släktingar
relax,koppla av
relief,lättnad
reliev,lättnad
religio,religio
reluctan,motvil
remaining,återstående
remembrance,minne
remorse,ånger
rent,hyra
reorgani,omorgani
replie,svar
reply,svar
report,Rapportera
repress,förtränga
request,begäran
requir,kräv
research,forskning
resent,förnärmelse
resign,avgå
resist,motstå
resolv,lösa
resource,resurs
resources,resurser
resourcing,resurser
respect,respekt
respected,respekterad
respectful,respekt
respectfully,respekt
respecting,respektera
respects,respekter
respond,svara
response,svar
responsib,ansvari
restau,restaurang
restless,rastlös
restructur,omstrukturera
result,resultat
resume,återuppta
retail,detaljhandeln
retard,fördröjning
retina,retina
retire,avgå
retiring,avgående
revenge,hämnd
revenue,vinst
review,recension
revis,revis
revolution,rotation
reward,belöning
rhetor,retorik
rib,revben
ribs,revben
rice,ris
rich,rik
richer,rikare
riches,rikedomar
richest,rikaste
ridicul,löjligt
rigid,stel
rigidity,stelhet
rigidly,stelt
ringleader,ringledare
risk,risk
ritalin,ritalin
rite,rit
rites,riter
ritual,ritual
rofl,rofl
role,roll
romanc,romans
romantic,romantisk
rookie,nybörjare
roomate,rumskompis
roomed,rum
roomie,rumskompis
rooming,hyra
roommate,rumskamrat
root,rot
rosaries,radband
rosary,radband
rosh-hashan,rosh-hashanah
roshhashan,Roshhshan
rotten,rutten
rough,grov
rougher,grövre
roughest,tuffaste
round,rund
rounder,rundare
roundest,rundast
royal,kunglig
royalty,kunglighet
rt,rt
rub,gnugga
rubbed,gnuggade
rubbing,gnuggar
ruble,rubel
rubs,gnuggningar
rude,oförskämd
rudely,plumpt
ruin,ruin
rule,regel
ruler,linjal
rules,regler
ruling,styrande
rum,rom
rumor,rykte
rumour,rykte
rupee,rupee
rx,rx
s'pose,förmodar
sabbath,sabbat
sacred,helig
sacrific,offer
sad,ledsen
sadder,tråkigare
saddest,mest tragiska
sadly,tyvärr
sadness,sorg
safe,säker
safely,säkert
safer,säkrare
safest,säkraste
safety,säkerhet
said,sa
saint,helgon
salad,sallad
salar,lön
sale,försäljning
sales,försäljning
saliv,saliv
salsa,salsa
salt,salt
salty,salt
salvation,frälsning
same,samma
sampl,prov
sand,sand
sands,sand
sandwich,smörgås
sandy,sandig
sarcas,offer
satan,satan
satisf,tillfredst
sauce,sås
sauces,såser
sausage,korv
savage,vilde
save,spara
saving,sparande
say,säga
saying,ordspråk
says,säger
scab,sårskorpa
scalp,skalp
scarce,knapp
scarcer,knappare
scarcest,knappast
scare,skrämma
scared,rädd
scares,larmrapporter
scarier,skrämmande
scariest,scariest
scaring,skrämma
scary,skrämmande
sceptic,skeptiker
schedul,schemaläg
schizophren,schizofren
scholar,akademiker
scholarly,vetenskaplig
scholars,akademiker
scholarship,stipendium
scholastic,skolastisk
school,skola
schoolboy,skolpojke
schoolgirl,skolflicka
schooling,skolutbildning
schoolmate,skolkamrat
schools,skolor
schoolwork,skolarbete
scien,vetensk
scrape,skrapa
scratch,repa
scream,skrika
screw,skruva
scriptur,skriptur
scrumptious,läcker
scum,avskum
second,andra
secret,hemlighet
secretar,sekre
secretive,hemlighetsfull
secretively,hemlighets
secretly,i hemlighet
secrets,hemligheter
sect,sekt
sectarian,sekteristisk
section,sektion
sector,sektor
sects,sekter
secur,säkerst
seduc,förför
seem,verka
seemed,verkade
seeming,skenbar
seems,verkar
segment,segmentet
seizure,anfall
self,själv
selfish,självisk
sell,sälja
seller,säljare
selling,försäljning
sells,säljer
semester,termin
seminar,seminarium
seminars,seminarier
seminary,seminarium
senat,senat
send,skicka
sender,avsändare
sending,sändning
sends,sänder
senior,senior
senor,senor
senora,senora
senorita,senorita
sensation,känsla
sensations,förnimmelser
sent,skickade
sentimental,sentimental
series,serier
serious,allvarlig
seriously,allvarligt
seriousness,allvar
servant,tjänare
servic,servic
servings,serveringar
ses,ses
session,session
seven,sju
several,flera
severe,svår
sex,sex
sexier,sexigare
sexiest,sexiest
sexily,sexily
sexiness,sexiness
sexing,könsbestämning
sexless,könlös
sexploit,sexploatera
sexpot,sexpot
sext,sext
sexual,sexuell
sexy,sexig
shadier,skuggigare
shadiest,skuggigast
shake,skaka
shaki,skakan
shaky,skakig
shall,skall
shame,skam
shan't,får inte
shant,får inte
share,dela med sig
shared,delad
shareholder,aktieägare
shares,aktier
sharing,delning
sharp,skarp
she,hon
she'd,hon hade
she'll,hon kommer
she's,hon är
she-,hon
shes,hon är
shi',hon
shiite,skite
shilling,shilling
shirt,skjorta
shit,Skit
shock,chock
shoe,sko
shook,skakade
shop,affär
shopaholic,shopaholic
shopp,shopp
shops,butiker
shorter,kortare
shortest,kortaste
shoulder,axel
shrine,helgedom
shy,blyg
shyly,blygt
shyness,blyghet
sibling,syskon
sick,sjuk
sickday,sjukdag
sicken,äcklas
sicker,sjukare
sickest,sjukaste 
sickleave,sjukskriven
sickly,sjuklig
sickness,sjukdom
sidekick,hjälpreda
sigh,suck
sighed,suckade
sighing,suck
sighs,suck
sikh,sikh
silk,silke
sillier,sillier
silliest,dummaste
silly,dumbom
similar,liknande
simpler,enklare
simplest,enklaste
sin,synd
since,eftersom
sincer,sincer
single,enda
singles,singel
singly,var för sig
sinister,ond
sinn,syn
sins,synder
sinus,bihål
sir,herr
sis,sys
sister,syster
six,sex
skank,slampa
skelet,skelett
skeptic,skeptiker
skill,skicklighet
skin,hud
skin',hud'
skinnier,smalare
skinniest,skinniest
skull,skull
slain,dödad
slaughter,slakt
slave,slav
slay,dräpa
sleep,sömn
sleepier,sleepier
sleepiest,sleepiest
sleeping,sovande
sleepless,sömnlös
sleeps,sover
sleepwalk,sömnen
sleepy,sömnig
slept,sov
slower,långsammare
slowest,långsammaste
slut,slut
small,liten
smaller,mindre
smallest,minsta
smart,smart
smarter,smartare
smartest,smartast
smartly,smart
smh,smh
smil,le
smok,rök
smooth,slät
smother,kväva
sms,sms
smsed,smsade
smug,självbelåten
snack,snack
snapchat,snapchat
snob,snobb
sob,lipa
sobbed,snyftade
sobbing,gråt
sobs,gråt
sociability,sällskaplighet
sociable,sällskaplig
social,social
socially,socialt
societ,samhäll
soda,soda
soft,mjuk
softer,mjukare
softest,mjukast
softly,mjukt
sold,såld
soldier,soldat
soldiers,soldater
solemn,ensam
solution,lösning
solve,lösa
solved,löst
solves,löser
solving,lösning
some,några
somebod,någon
someday,någon dag
somehow,på något sätt
someone,någon
something,något
sometime,någon gång
sometimes,ibland
somewhat,något
somewhere,någonstans
son,son
son's,sons
son-in-law,svärson
sonofa,son till en
sons,söner
soon,snart
sooner,förr
soonest,snarast
sophom,andraårs
sore,öm
sororit,kvinnofören
sorrow,sorg
sorry,förlåt
sort,sortera
sorta,typ
sortof,typ
sorts,sorts
sortsa,sorter
soul,själ
soulmate,själsfrände
souls,själar
soup,soppa
source,källa
sovereign,suverän
spaghetti,spaghetti
spat,spat
speak,tala
speaking,talar
speaks,talar
spearhead,spjutspets
special,särskild
specific,specifik
specifically,specifikt
specifics,detaljerna
spend,spendera
spender,spenderar
spending,utgifterna
spends,spenderar
spent,spenderade
spinal,ryggr
spine,ryggrad
spirit,anda
spit,spott
spite,trots
spits,spottar
spitting,spottande
splendid,utmärkt
splendidly,utmärkt
splendor,prakt
spoke,pratade
spose,partner
spous,partne
squad,trupp
squeez,klämm
sr,sr
sra,sra
staff,personal
stale,stela
stammer,stammar
stank,stank
stapl,stapl
start-up,start-up
startl,startl
startup,startup
starve,svälta
starving,svält
status,status
std,std
steal,stjäla
stench,stank
step-child,styvbarn
step-dad,styvpappa
step-dau,styv-dott
step-fath,styvfar
step-kid,styvbarn
step-moth,styvmamm
step-son,styvson
stepchild,styvbarn
stepdad,styvpappa
stepdau,stepdott
stepfath,styvfar
stepkid,styvbarn
stepmoth,styvmamm
stepson,styvson
stfu,stfu
stiff,styv
stiffer,styvare
stiffest,styvast
stiffly,styft
stimul,stimul
stink,stank
stinky,illaluktande
stipend,stipend
stock,lager
stocked,lagrad
stocks,lager
stomach,mage
stop,sluta
stopped,stoppad
stopping,stoppning
stops,stopp
store,Lagra
stores,butiker
stories,historier
story,berättelse
straighter,rakare
straightest,rakaste
strain,anstränga
strange,konstig
strangest,underlig
strength,styrka
strept,strep
stress,påfrestning
stricter,striktare
strictest,striktast
stroke,stroke
stroki,stroki
strong,stark
stronger,starkare
strongest,starkast
strongly,starkt
struggl,kamp
stubborn,envis
stud,hingst
student,student
studied,studerad
studies,studier
studio,studio
studios,studios
studious,flitig
study,studera
stunk,stank
stunned,bedövad
stuns,bedöva
stupid,korkad
stupider,dummare
stupidest,dummaste
stupidity,dumhet
stupidly,dumt
stutter,stamma
subjugate,underordna
submissive,undergiven
submit,Skicka in
subordinat,subordiner
subserv,subserv
subvers,subvers
subvert,omstörta
succeed,lyckas
success,Framgång
successes,framgångar
successful,framgångsrik
successfully,framgångsrikt
suck,suga
sucked,sög
sucker,sugare
sucks,suger
sucky,sugig
suffer,lida
suffered,lidit
sufferer,lidande person
suffering,lidande
suffers,lider
sugar,sockerarter
sugardadd,sugardadd
sugarmam,sugarmam
sugarmom,sugarmom
sugars,sockerarter
sugary,sötade
suggest,föreslå
suicid,självmor
sunburn,solbränna
sunni,solig
sunnier,soligare
sunniest,soligast
sunnis,sunni
sunny,solig
sunshin,solsske
super,super
superb,utmärkt
superior,överlägsen
superiority,överlägsenhet
superiors,överlordn
superstar,stjärna
supervis,ledning
supper,middag
support,stöd
supported,stöds
supporter,anhängare
supporting,stödjande
supportive,stödjande
supports,bärare
suppose,anta
supposed,förment
supposedly,antagl
supposes,antar
supposing,utgår från
supposition,antagande
suppress,dämpa
suprem,högsa
sure,säker
surgeon,kirurg
surger,kirurgi
surprise,överraskning
surprised,överraskad
surprising,förvånande
surrender,överlämna
sushi,sushi
suspicio,misstank
swallow,svälja
sweat,svettas
sweet,ljuv
sweeter,sötare
sweetest,sötast
sweetheart,älskling
sweetie,sötnos
sweetly,sött
sweetness,sötma
sweets,sötsaker
swelling,svullnad
swinger,swinger
swollen,svullen
syllabus,kursplan
sympath,sympat
symptom,symptom
syndrome,syndrom
syphili,
taco,
talent,talang
talk,prata
talkative,pratsam
talked,talade
talker,talare
talking,talande
talks,samtal
taller,längre
tallest,högsta
tantrum,raseri
tasks,uppgifter
taste,smak
tasted,smakade
tastes,smaker
tastier,tastier
tastiest,goda
tasting,provsmakning
tasty,gott
taught,lärde
tax,beskatta
taxa,taxa
taxed,beskattas
taxes,skatter
taxing,beskatta
tea,te
teach,lära
team,team
tears,tårar
teas,
tedious,
teehe,Open in Google Translate
teen,tonåring
teenage,tonårs
teeth,tänder
telephon,telefon
tell,säga
telling,talande
tells,berättar
temper,humör
tempers,humöret
temple,tempel
tempora,tillfäll
ten,tio
tender,öm
tenderly,ömt
tendon,sena
tendoni,inflammation
tendons,senor
tense,spänd
tensely,spänt
tensing,spänna
tension,spänning
tentativ,tentativ
tenth,tionde
tenure,besittnings
tequila,tequila
terrible,fruktansvärd
terribly,fruktansvärt
terrific,fantastiskt
terrifically,oerhört
terrified,
terrifies,
terrify,skrämma
terrifying,skrämma
terror,skräck
test,testa
testament,testament
tested,testat
testing,testning
testosterone,testoste
tests,tester
textbook,standard
texted,textmeddeland
texting,sms
than,än
thank,tacka
thanked,tackat
thankful,tacksam
thankfully,lyckligtvis
thanking,tacka
thanks,tack
thanx,tackar
that'll,det kommer att
thatll,det kommer att
thee,dig
their,deras
them,dem
themselves,sig själva
then,sedan
theolog,teolo
theor,teor
therap,terap
thereafter,därefter
therefor,därför
thermometer,termometer
theses,avhandlingar
thesis,avhandling
they,de
they'd,de hade
they'll,de ska
they're,de är
they've,de har
theyd,dom hade
theyll,dom ska
theyre,dom är
theyve,dom har
thick,tjock
thief,tjuv
thiev,tjuvakt
thigh,lår
thine,er
thinner,tunna
thinnest,tunnaste
third,tredje
thirst,törst
thirsting,törstande
thirsts,törstar
thirsty,törstig
thirt,thirt
thnx,tack
thou,du
thoughtful,omtänksam
thousand,tusen
thoust,thoust
threat,hot
three,tre
thrift,sparsamhet
thriftier,ekonomisk
thriftiest,thriftiest
thrifty,sparsam
thrill,spänning
throat,hals
throb,bulta
throne,tron
thumbs,tummen
thus,alltså
thx,tack
thy,din
thyroid,sköldkörtel
tight,tajt
tighter,nära
tightest,snäv
tightly,tajt
timid,blyg
tingl,kittla
tinier,marginell
tiniest,pytte
tiny,minimal
tired,trött
tiredest,tröttast
tiring,tröttsam
tit,mes
tits,bröst
titties,tuttar
titty,tutte
toe,tår
toefl,toefl
toenail,tånagel
toes,tår
together,tillsammans
told,berättade
toleran,toler
tomb,grav
tomboy,pojkflicka
tombs,gravar
tomorrow,i morgon
ton,tonsiller
tongue,tunga
tonight,i kväll
tons,ton
tonsils,tonsiller
tooth,tand
top,topp
torah,torah
tortur,tortyr
total,total
totally,totalt
touch,vidrör
tough,tuffaste
tougher,tuffare
toughest,tuffaste
tox,gifti
trade,handel
trading,handel
traged,traged
tragic,tragisk
tragically,tragiskt
tranquil,lugn
transact,transakt
transcript,transkri
transfer,överföra
trauma,trauma
treasur,skatt
treat,behandla
trembl,darra
tricep,tricep
trick,lura
tricked,lurade
trickier,svårare
trickiest,svåraste
tricks,trick
tricky,knepig
trigger,avtryckare
trillion,biljon
triple,trippel
tripling,tredubbl
trite,banal
triumph,triumf
trivial,trivial
troubl,problem
TRUE,sann
truer,mer sann
truest,sannaste
truly,verkligt
trust,tilllit
trusted,betrodd
trusting,lita
trusts,litar
trustworthiness,trovärdighet
trustworthy,pålitlig
trusty,pålitliga
truth,sanning
try,prova
trying,påfrestande
tryna,testa
tuition,undervisning
tummy,mage
tumo,tumör
turmoil,kaos
tutor,handledare
twat,fitta
tweet,tweet
twel,tolv
twent,tjugo
twice,dubbelt
twitch,rycka till
twitched,ryckte
twitches,ryckningar
twitching,ryckningar
twitchy,spasti
twitter,twitter
two,två
ty,tack
tylenol,alvedon
typed,typbestämd
typically,oftast
typing,skriver
ugh,usch
uglier,fulare
ugliest,ugliest
ugly,ful
ulcer,magsår
unaccept,oaccept
unambigu,utan tvivel
unattractive,oattraktiv
uncertain,osäker
uncle,farbror
uncle's,farbrors
unclear,oklar
uncles,farbröder
uncomfortabl,obekvä
uncontrol,okontroll
undecided,obeslutsam
undeniab,tvivelsuran
under,under
underclass,arbetarklass
underdog,underläge
undergrad,student
underling,underhugg
underpaid,underbetal
underprivileg,lågavlön
undesir,oönska
undetermin,oklar
undoubt,otvivel
uneas,uneas
unemploy,arbetslös
unfair,orättvis
unfortunate,olyckligt
unfriendly,ovänlig
ungrateful,otacksam
unhapp,olycklig
unhealthy,ohälsosam
unimportant,oviktig
unimpress,föga imponerad
unique,unik
universit,universit
unkind,ovänlig
unknowing,ovetande
unknowingly,omedvetet
unknown,okänd
unlikel,osannolikt
unlov,inte älskvärd
unlucky,olycklig
unpleasant,obehaglig
unproduc,improduktiv
unprotected, oskydd
unqualified,okvalificerad
unquestion,oifråga
unresolv,oupplöst
unsafe,osäker
unsavory,motbjudande
unsettl,obehaglig
unsuccessful,misslyckad
unsure,osäker
unwanted,oönskad
unwelcom,ovälkom
up,upp
up-and-coming,genombrott
upbeat,positiv
upcoming,kommande
upper,övre
upperclass,överklass
upset,upprörd
upsets,störningar
upsetting,upprörande
uptight,spänd
ur,du är
urin,urin
urn,urna
us,oss
usd,dollar
use,använda sig av
used,använda sig av
useful,användbar
usefully,användbarhet
usefulness,användbarhet
useless,värdelös
uselessly,värdelöst
uselessness,oanvändbarhet
uses,användningar
using,använder
usually,vanligtvis
uter,livmod
vag,vagin
vagin,vaginal
vague,vag
vaguely,vagt
vagueness,vaghet
vaguer,vagare
vaguest,vag
vain,fåfäng
valentin,valentin
valuabl,värdefu
value,värde
valued,värderad
values,värden
valuing,värdera
vanity,fåfänga
vanquish,besegra
variab,variab
varies,varierar
variety,mängd
various,olika
varsit,sport
vary,variera
vatican,vatican
vd,std
veget,grönsak
veggie,vegeta
veil,slöja
vein,ven
venmo,venmo
verb,verb
vertigo,vertigo
veteran,veteran
viagra,viagra
vibrator,vibrator
vicious,ond
viciously,illvilligt
viciousness,elak
vicodin,vicodin
victim,offer
victor,segrare
vigilan,medborgargard
vigor,kraft
vigour,kraft
vile,vidrig
villain,skurk
violat,överträd
violence,våld
violent,våldsam
violently,våldsamt
vip,vip
virgin,jungfrulig
virtually,i princip
virtue,dygd
virtuo,virtuo
visa,visum
visibly,synligt
visit,besök
visited,besökt
visiting,besöker
visits,besök
vita,vite
vital,avgörande
vitamin,vitamin
vitas,livs
vocation,yrke
vodka,vodka
vomit,kräkas
vp,vp
vulnerab,sårbar
wage,lön
wager,slå vad
wagered,satsad
wagering,vadslagning
wagers,satsningar
wages,lön
waist,midja
wake,vakna
wank,runk
wanna,vill
wants,önskemål
war,krig
warehous,warehous
warfare,krigföring
warm,värma
warmed,värmdes
warmer,varmare
warmest,varmaste
warming,uppvärmningen
warmly,varmt
warms,värmer
warmth,värme
warn,varna
warred,krigade
warring,stridande
wars,krig
wart,vårta
warts,vårtor
wash,tvätta
washed,tvättat
washes,tvättar
washing,tvätta
wat,vatten
water,vatten
wattt,vapen
we,vi
we'd,vi borde
we'll,vi ska
we're,vi är
we've,vi har
weak,svag
weaken,göra svagare
weakened,försvagade
weakening,försvaga
weakens,försvaga
weaker,svaga
weakest,vekast
weakling,vekling
weakly,svagt
weakness,svaghet
wealth,rikedom
wealthier,rikare
wealthiest,rikaste
wealthy,rik
weapon,vapen
wear,ha på sig
wearing,har på sig
wears,less
weary,trötta
wed,gifta
wedding,bröllop
weds,gifter
weenie,pytte
weep,gråta
weigh,vägga
weighed,vägde
weighing,vägning
weighs,väger
weight,vikt
weighted,viktade
weightless,viktlös
weights,vikter
weird,knäppt
weirded,chockad
weirder,skum
weirdest,knasig
weirdly,tokigt
weirdness,dumhet
weirdo,dumskal
weirdos,galnin
weirds,knäppt
welcom,välkom
welfare,välfärd
well,välkänd
well-known,välkänd
wellbeing,välbefinn
wellness,hälsa
wench,jänta
wept,gråtit
wet,blöt
wetter,väder
wettest,våtast
weve,vi har
what,vad ska
what'd,vad gjorde
what'll,vad ska
what're,vad är
what's,vad är
whatd,vad om 
whatever,vad som helst
whatll,vilket kommer
whatre,vilka är
whatt,vilkas
wheat,vete
wheez,väsande
when,när
when',närsom
whence,varav
whenever,närsom
where,där
where'd,var är
where's,vart är
whereby,varigenom
wherefore,varför
wherever,vart som helst
whether,huruvid
which,som
whichever,vilken som
whine,gnälla
whining,tjat
whiskey,whisky
whisky,whisky
whither,dit
who,vem
who'd,som skulle
who'll,vem ska
who's,som är
whod,som skulle
whoever,vemsom
whole,hela
wholl,helt
wholly,helt
whom,vem
whomever,vem
whore,hora
whos,vilkas
whose,vars
whosever,whosever
whoso,den som
why,varför
why',varför
whyever,whyever
wicked,ond
wickedly,knäppt
wider,bredare
widest,bredast
widow,änka
wife,fru
wilder,vildare
wildest,vildaste
will,kommer
willing,villig
wimp,tönt
win,vinna
wine,vin
wines,viner
winn,vinna
wins,segrar
wisdom,visdom
wise,klok
wisely,klokt
wiser,klokare
wisest,visaste
wish,önskar
wishes,lyckönskningar
wishing,önskar
witch,häxa
withdrawal,utsättn
wittier,skoj
wittiest,skämt
wive,fru
woe,ve
woman,kvinna
woman's,kvinnas
womanhood,kvinnlighet
womanly,kvinnlig
womans,kvinnas
womb,livmoder
women,kvinnor
won,vann
won't,osannoli
wonder,undra
wondered,undrade
wonderful,underbar
wonderfully,underbart
wondering,undrar
wonders,undrar
wont,kommer inte
wore,bära
work,arbete
work-out,träna
workabl,genomförbar
worked,arbetade
worker,arbetstagare
working,arbetssätt
workout,träna
works,fungera
workshop,verkstad
world-class,världsklass
worried,orolig
worrier,worrier
worries,bekymmer
worry,oro
worrying,oroande
worse,värre
worsen,förvärra
worsened,förvärrats
worsening,försämring
worsens,förvärr
worship,dyrkan
worst,värst
worth,värde
worthless,värdelös
worthwhile,värt
wound,skada
wow,wow
wrist,handled
write,skriva
writer,författare
writes,skrivningar
writing,skrivande
written,skriven
wrong,fel
wrongdoing,oegentlig
wronged,kränkta
wrongful,olov
wrongly,felaktigt
wrongness,felakt
wrongs,fel
wrote,skrev
wtf,wtf
wuss,mes
wussy,mesig
wut,fury
xanax,xanax
xerox,xerox
xray,röntgen
y'all,allihopa
y'all's,allihop
ya,japp
ya'll,allihop
yall,allihopa
yalls,allihopa
yawn,gäspa
yay,yay
ye,är
yearn,längta
yell,skrikande
yelled,vrålade
yelling,skrikande
yells,skriker
yen,yen
yiddish,jiddisch
yield,leder
you,du skulle
you'd,du skulle
you'll,du kommer
you're,du är
you've,du har
youd,du borde
youll,du kommer
younger,yngre
youngest,yngst
youngster,unge
your,din
youre,du är
yours,din
yourself,själv
yourselves,er själva
youve,du har
yuan,yuan
yuck,usch
yum,yum
yummy,mums
zen,zen
zero,noll
zillion,zillioner
zion,zion
zit,finne
zits,finnar
zoloft,zoloft
zombie,zombie